	oob_score	n_estimators	min_weight_fraction_leaf	min_samples_split	min_samples_leaf	min_impurity_decrease	max_samples	max_leaf_nodes	max_features	max_depth	criterion	ccp_alpha	bootstrap	accuracy	average_precision	f1	precision	recall	roc_auc
63	True	100	5.0	5	1	5.0	0.9	200.0	sqrt	1000.0	entropy	1.0	True						
64	True	50	0.0	5	5	5.0		500.0	auto		entropy	0.001	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
65	False	25	0.0	2	5	5.0			auto	100.0	gini	0.01	False	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
66	False	25	10.0	10	5	10.0	0.1		auto	100.0	gini	0.1	False						
67	True	25	5.0	5	1	5.0	0.9	100.0	sqrt	10.0	entropy	0.1	True						
68	True	75	0.0	2	5	5.0	0.25	200.0	log2	1000.0	entropy	0.1	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
69	True	50	10.0	10	1	5.0	0.25		sqrt		gini	0.1	True						
70	False	10	1.0	5	5	0.5	0.9	200.0	sqrt		gini	0.001	True						
71	False	75	0.0	2	1	1.0	0.1	500.0	log2	1000.0	entropy	0.0001	False						
72	True	100	10.0	5	5	10.0	0.25	500.0	log2		entropy	0.1	True						
73	True	75	0.0	5	1	5.0	0.9	1000.0	sqrt	10.0	gini	0.1	False						
74	True	25	1.0	5	1	0.0	0.9	200.0	auto	1000.0	entropy	0.0001	True						
75	True	25	5.0	2	5	1.0		1000.0	auto	10.0	gini	0.01	True						
76	False	50	5.0	5	5	5.0	0.1	100.0	sqrt	1000.0	entropy	0.0001	False						
77	True	100	10.0	5	5	1.0	0.9		auto	100.0	gini	1.0	True						
78	False	10	0.0	10	5	1.0	1.0	10.0	sqrt	10.0	gini	1.0	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
79	False	25	10.0	10	2	0.5	0.9	10.0	auto		entropy	0.001	True						
80	True	75	0.0	5	2	0.5	0.9	200.0	auto	10.0	entropy	1e-05	False						
81	True	50	10.0	5	1	5.0	1.0	1000.0	auto		gini	1e-05	True						
82	True	100	0.0	2	1	1.0	0.5	1000.0	sqrt	100.0	entropy	1.0	False						
83	True	10	5.0	2	5	1.0	0.25	50.0	auto	100.0	gini	0.1	True						
84	True	75	1.0	5	5	0.5	0.9		sqrt		entropy	1e-05	True						
85	False	75	0.0	2	2	0.0	0.9	50.0	auto	100.0	entropy	1e-05	True	0.8701185538938461	0.7659134515500288	0.628488981808727	0.8743809523809525	0.5587808417997098	0.8613382412086663
86	True	10	0.0	5	5	10.0	1.0	200.0	sqrt	10.0	gini	0.001	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
87	True	75	10.0	10	1	5.0	0.25	1000.0	sqrt	1000.0	gini	0.001	True						
88	False	25	5.0	2	2	10.0	0.1		log2		gini	1e-05	True						
89	False	50	5.0	5	5	5.0	0.5		auto		gini	1e-05	True						
90	False	10	5.0	5	1	0.0	0.9		auto		gini	0.01	True						
91	True	75	5.0	5	5	10.0	0.5		sqrt	10.0	gini	0.01	True						
92	False	50	5.0	2	5	0.5	0.25	10.0	log2	1000.0	gini	0.0001	True						
