	weights	p	n_neighbors	metric_params	metric	leaf_size	algorithm	accuracy	average_precision	f1	precision	recall	roc_auc
77	uniform	3	5	{'w': 3}	mahalanobis	40	auto						
78	distance	3	3	{'V': 1}	chebyshev	20	brute	0.7175233546981693	0.4515994678967088	0.49364403093067466	0.44006962964045393	0.5819007686932215	0.7010920679095264
79	distance	2	3	{'w': 2}	mahalanobis	50	ball_tree						
80	distance	2	7	{'V': 3}	chebyshev	20	auto	0.7531858740731431	0.4076048204874391	0.2256543067780996	0.4852564102564103	0.14919636617749826	0.6229384012130091
81	distance	1	10	{'V': 3}	chebyshev	20	brute	0.7531900632566713	0.3952537680083207	0.18809117831594246	0.46151960784313717	0.11942697414395528	0.633004662063539
82	uniform	2	3	{'w': 3}	minkowski	100	ball_tree						
83	uniform	3	5	{'V': 3}	mahalanobis	30	ball_tree						
84	uniform	2	7	{'V': 3}	chebyshev	50	brute	0.7577562733023333	0.37027863767816616	0.22148805266897834	0.49936507936507946	0.14549266247379455	0.6109388905600166
85	distance	1	7	{'w': 3}	minkowski	10	auto	0.8070964768966528	0.5947338621950694	0.4964967147200158	0.6611467855815683	0.4255066387141859	0.7691869058088654
86	uniform	1	7	{'V': 3}	mahalanobis	10	auto						
87	distance	3	10	{'V': 3}	chebyshev	30	kd_tree						
88	uniform	3	10	{'V': 3}	minkowski	50	auto	0.8089271500984457	0.561753843623249	0.398251628888283	0.795	0.2879804332634521	0.7554314889951776
89	uniform	3	5	{'w': 2}	mahalanobis	20	auto						
90	distance	2	3	{'V': 1}	minkowski	50	brute	0.7833186711909849	0.5306620695435149	0.480488712099482	0.5622611389929549	0.4252969951083159	0.7234963384444327
91	uniform	2	10	{'w': 3}	chebyshev	50	ball_tree						
92	distance	3	3	{'V': 3}	mahalanobis	30	auto						
93	uniform	1	7	{'w': 2}	chebyshev	20	brute	0.7577562733023333	0.37027863767816616	0.22148805266897834	0.49936507936507946	0.14549266247379455	0.6109388905600166
94	distance	2	5	{'V': 3}	mahalanobis	10	brute						
95	distance	2	10	{'V': 3}	seuclidean	10	brute						
96	distance	3	7	{'V': 1}	minkowski	10	ball_tree						
97	uniform	2	10	{'V': 3}	minkowski	30	kd_tree						
98	distance	3	10	{'w': 2}	chebyshev	10	kd_tree						
99	uniform	3	3	{'w': 2}	minkowski	50	kd_tree						
100	distance	2	5	{'w': 2}	minkowski	40	auto	0.8025176993004063	0.566523409263659	0.49852666420609804	0.6389742524916944	0.4217330538085255	0.7434663423403288
101	uniform	1	7	{'w': 2}	chebyshev	40	kd_tree						
102	distance	2	5	{'V': 3}	seuclidean	40	ball_tree						
103	uniform	2	3	{'V': 3}	minkowski	100	ball_tree						
104	distance	3	3	{'w': 2}	seuclidean	30	ball_tree						
105	uniform	2	7	{'w': 2}	chebyshev	10	auto	0.7577562733023333	0.37027863767816616	0.22148805266897834	0.49936507936507946	0.14549266247379455	0.6109388905600166
106	distance	3	10	{'w': 1}	seuclidean	10	auto						
107	uniform	2	10	{'w': 1}	mahalanobis	10	ball_tree						
108	uniform	2	3	{'w': 3}	chebyshev	30	auto	0.7102216078086381	0.42224105473886586	0.4931379632047925	0.43485121574387725	0.5895877009084557	0.6935910518383809
109	distance	3	7	{'w': 1}	seuclidean	50	kd_tree						
110	distance	3	3	{'V': 2}	minkowski	40	kd_tree						
111	distance	1	5	{'V': 3}	chebyshev	10	auto	0.7531984416237275	0.4034003723716756	0.26668828137064793	0.5104528039010797	0.18280922431865826	0.6231321703815451
112	distance	2	5	{'w': 2}	minkowski	20	brute	0.8025176993004063	0.566523409263659	0.49852666420609804	0.6389742524916944	0.4217330538085255	0.7434663423403288
113	distance	3	7	{'V': 3}	mahalanobis	30	brute						
114	uniform	2	10	{'V': 3}	minkowski	20	brute	0.8089229609149177	0.5629692191997879	0.4012591222119436	0.7740224545102594	0.29545772187281616	0.7658492862243714
115	distance	3	7	{'w': 2}	seuclidean	50	auto						
116	uniform	1	7	{'w': 2}	mahalanobis	50	brute						
117	uniform	2	10	{'w': 3}	minkowski	10	ball_tree						
118	uniform	3	10	{'V': 2}	seuclidean	30	brute						
119	distance	3	3	{'w': 2}	seuclidean	100	auto						
