	shrinking	probability	kernel	gamma	degree	decision_function_shape	coef0	break_ties	C	accuracy	average_precision	f1	precision	recall	roc_auc
3954	False	False	linear	auto	5	ovo	0.1	False	0.5	0.8545808721880105	0.7519795993521029	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8632617552940353
3955	False	False	rbf	auto	3	ovr	5.0	False	0.005	0.7586862720455783	0.7277653856512537	0.0	0.0	0.0	0.8469298092223758
3956	True	False	poly	scale	2	ovo	5.0	True	10.0						
3957	True	False	poly	auto	3	ovo	10.0	False	0.01	0.8554941141971429	0.7557133878452368	0.5679897823743164	0.8632991100908777	0.5132801161103048	0.8596416143529124
3958	True	False	sigmoid	auto	5	ovo	0.0	True	0.01						
3959	True	False	linear	auto	3	ovr	5.0	False	5.0	0.8545808721880105	0.7535855047574893	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8605150646125868
3960	True	False	rbf	scale	4	ovo	5.0	False	0.01	0.7586862720455783	0.7225329025708092	0.0	0.0	0.0	0.8442810428943641
3961	False	True	sigmoid	scale	4	ovo	5.0	True	1.0						
3962	True	False	sigmoid	scale	4	ovo	5.0	False	0.05	0.7586862720455783	0.5892366385792215	0.0	0.0	0.0	0.8278161994858972
3963	True	True	sigmoid	scale	5	ovr	0.001	True	0.01	0.7586862720455783	0.6977333196829246	0.0	0.0	0.0	0.8388982635913758
3964	True	True	linear	auto	2	ovo	0.1	False	0.005	0.7586862720455783	0.7422194270247472	0.0	0.0	0.0	0.8509145435151346
3965	False	False	rbf	scale	3	ovr	1.0	False	0.01	0.7586862720455783	0.7225329025708092	0.0	0.0	0.0	0.8442810428943641
3966	True	True	linear	scale	2	ovr	0.01	True	0.01	0.7778685434208873	0.7418941250721026	0.14712314938730034	0.7666666666666667	0.08686502177068214	0.8507287495409797
3967	True	False	poly	scale	4	ovr	1.0	False	10.0	0.8079845838046165	0.6211829403668961	0.5695534497041016	0.5950800500012732	0.5629898403483309	0.7909559865004284
3968	False	True	linear	scale	1	ovr	0.1	False	0.05	0.8545808721880105	0.7548365756037431	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8574920873625125
3969	False	True	sigmoid	scale	4	ovo	1.0	False	0.05	0.7586862720455783	0.6038547031351558	0.0	0.0	0.0	0.829874359557242
3970	True	False	rbf	scale	1	ovr	0.001	True	0.05	0.7586862720455783	0.7230441609410447	0.0	0.0	0.0	0.8442980922237571
