	solver	penalty	l1_ratio	intercept_scaling	dual	C	accuracy	average_precision	f1	precision	recall	roc_auc
812	lbfgs	l1	0.0	0	False	1.0						
813	saga	l1	0.6	0	True	1.0						
814	lbfgs	elasticnet	0.0	0	True	0.01						
815	lbfgs	none	0.3	0	True	1.0						
816	liblinear	l1	0.45	0	True	0.01						
817	lbfgs	l2	0.6	5	False	5.0	0.8628084286372586	0.7517929836846781	0.6167333350127623	0.8140894116365814	0.5550072568940494	0.8564031160928183
818	lbfgs	elasticnet	0.45	0	False	0.001						
819	saga	l1	0.15	0	True	1.0						
820	liblinear	l2	0.15	0	False	0.005						
821	lbfgs	l1	0.0	5	True	0.001						
822	newton-cg	none	0.15	0	True	0.001						
823	sag	elasticnet	0.9	1	False	10.0						
824	newton-cg	elasticnet	0.0	1	False	1.0						
825	sag	elasticnet	0.15	5	False	1.0						
826	lbfgs	none	0.15	5	False	10.0	0.8609819446189938	0.7503169141257651	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8552892265724727
827	liblinear	none	0.9	5	True	0.5						
828	saga	elasticnet	0.9	5	False	0.001	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
829	saga	l1	0.3	5	False	5.0	0.8618951866281261	0.7519680994018607	0.6140701047722125	0.8131380374293933	0.551233671988389	0.8558776470176788
830	sag	none	0.45	5	True	0.05						
831	liblinear	elasticnet	0.75	1	False	0.001						
832	saga	none	0.9	1	True	0.1						
833	saga	l1	0.9	0	True	0.1						
834	newton-cg	l1	0.0	1	False	0.001						
835	sag	l1	0.0	0	False	5.0						
836	newton-cg	elasticnet	0.9	1	False	0.005						
837	lbfgs	elasticnet	0.9	1	True	1.0						
838	lbfgs	l2	0.3	5	True	0.005						
839	sag	elasticnet	0.15	0	True	0.001						
840	newton-cg	l1	0.6	0	True	0.5						
841	saga	l1	0.6	0	True	0.001						
842	liblinear	l1	1.0	0	False	0.5						
843	lbfgs	elasticnet	0.9	5	True	0.01						
844	liblinear	l2	0.0	5	True	0.005	0.7586862720455783	0.7306672959740668	0.0	0.0	0.0	0.8436642069001697
845	sag	none	1.0	1	False	0.01	0.8609819446189938	0.7506631639518474	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8554028887684264
846	sag	l2	0.45	1	False	10.0	0.8618951866281261	0.7512348565002878	0.6141801435234007	0.8136248355622493	0.551233671988389	0.8559707625859024
847	lbfgs	elasticnet	0.9	5	False	0.005						
848	lbfgs	none	0.9	5	True	0.5						
849	lbfgs	l2	0.75	0	False	10.0	0.8618951866281261	0.7512400707297526	0.6141801435234007	0.8136248355622493	0.551233671988389	0.8558793956668473
850	lbfgs	none	0.0	0	False	5.0	0.8609819446189938	0.7503169141257651	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8552892265724727
851	saga	elasticnet	0.3	0	False	0.05	0.8573205982154078	0.7521318103898408	0.5487351880152972	0.9332467532467532	0.44535558780841794	0.8550789515099586
852	liblinear	none	0.9	0	True	0.001						
853	sag	elasticnet	0.15	1	True	0.005						
854	liblinear	l2	0.15	5	True	0.001	0.7586862720455783	0.700832804321694	0.0	0.0	0.0	0.8241178064944832
855	lbfgs	l1	0.3	0	True	0.01						
856	saga	l2	1.0	1	False	0.01	0.7659922081186378	0.7355950416720244	0.05740259740259741	0.6	0.030188679245283023	0.8470959308933848
857	lbfgs	elasticnet	0.3	5	True	10.0						
858	liblinear	elasticnet	0.9	1	False	0.5						
859	saga	l1	0.6	1	True	0.005						
860	saga	l1	0.9	5	True	0.01						
861	saga	elasticnet	0.75	0	False	0.001	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
862	newton-cg	l1	0.0	1	True	1.0						
863	lbfgs	l2	1.0	5	False	0.05	0.8591512714172008	0.7489896263925553	0.5543821278245303	0.9435117302052787	0.4492017416545718	0.8547821183136028
864	newton-cg	none	0.0	5	False	0.001	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
865	liblinear	l2	0.15	5	False	0.1	0.8600645134263333	0.7528973076742085	0.5707403642301196	0.9095238095238095	0.4793904208998548	0.8569071642156434
866	lbfgs	l2	1.0	5	False	0.5	0.8664655858573163	0.753749627676844	0.6161004428169029	0.8775717360114778	0.5399129172714079	0.8578885935614737
867	newton-cg	l1	0.45	0	False	1.0						
868	sag	elasticnet	0.75	5	True	10.0						
869	newton-cg	l1	0.9	5	False	0.005						
870	newton-cg	elasticnet	0.45	0	True	10.0						
871	sag	none	1.0	0	True	0.5						
872	newton-cg	l1	0.3	1	False	10.0						
873	liblinear	elasticnet	0.3	5	True	0.01						
874	saga	none	1.0	5	True	0.005						
875	saga	l2	1.0	0	True	1.0						
876	liblinear	l1	1.0	0	False	0.001						
877	newton-cg	none	0.3	0	False	0.1	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
878	saga	none	1.0	5	True	0.5						
879	lbfgs	l2	0.9	5	False	0.05	0.8591512714172008	0.7489896263925553	0.5543821278245303	0.9435117302052787	0.4492017416545718	0.8547821183136028
880	lbfgs	l1	0.0	0	False	10.0						
881	newton-cg	elasticnet	0.0	1	True	0.1						
882	newton-cg	elasticnet	0.15	0	True	5.0						
883	newton-cg	elasticnet	0.75	0	True	0.005						
884	liblinear	elasticnet	0.75	5	True	0.001						
885	saga	l1	0.15	1	True	0.01						
886	liblinear	l1	0.15	5	True	10.0						
887	liblinear	l1	0.15	1	False	1.0	0.8609819446189938	0.7535534202534443	0.6060651629072682	0.8209240222143448	0.5361393323657475	0.8556533827618165
888	saga	elasticnet	0.6	5	True	10.0						
889	saga	none	0.9	5	True	1.0						
890	saga	l1	0.9	5	False	0.001	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
891	sag	l1	0.45	1	True	0.1						
892	liblinear	none	0.15	1	False	5.0						
893	lbfgs	elasticnet	1.0	5	False	10.0						
894	newton-cg	elasticnet	1.0	1	True	10.0						
895	lbfgs	l1	0.6	1	False	0.5						
896	liblinear	l1	0.75	5	False	0.01	0.7586862720455783	0.24424245060791497	0.0	0.0	0.0	0.5019230769230769
897	liblinear	elasticnet	0.15	0	True	0.1						
898	sag	l1	0.0	5	True	0.1						
899	newton-cg	none	0.15	5	False	0.5	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
900	lbfgs	l1	0.45	5	False	0.1						
901	newton-cg	none	0.45	5	True	0.05						
902	liblinear	none	0.0	5	False	0.001						
903	liblinear	none	0.9	1	False	0.05						
904	newton-cg	l1	0.9	0	False	10.0						
905	sag	elasticnet	0.75	0	True	0.001						
906	newton-cg	l2	0.45	5	False	0.005	0.7586862720455783	0.7188401189018243	0.0	0.0	0.0	0.8415754454683757
907	saga	elasticnet	0.0	0	True	0.5						
908	saga	l2	0.0	5	False	0.5	0.865552343848184	0.7534873064277814	0.6146777341985719	0.8726474935872354	0.5399129172714079	0.8580026929197195
909	newton-cg	l2	0.9	1	True	0.1						
910	lbfgs	l2	0.6	5	True	1.0						
911	lbfgs	l2	0.75	5	True	0.1						
912	lbfgs	l2	0.15	5	True	0.1						
913	lbfgs	l1	0.9	0	True	10.0						
914	newton-cg	elasticnet	0.15	0	False	0.05						
915	saga	none	0.75	5	False	10.0	0.8609819446189938	0.7516116070255817	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8557657334708937
916	newton-cg	l1	1.0	5	False	1.0						
917	sag	elasticnet	0.75	5	False	0.05						
918	newton-cg	l2	0.75	5	True	0.01						
919	sag	none	0.0	0	True	0.01						
920	newton-cg	none	1.0	1	True	10.0						
921	sag	none	0.0	5	True	0.01						
922	lbfgs	none	1.0	1	False	0.05	0.8609819446189938	0.7503169141257651	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8552892265724727
923	lbfgs	elasticnet	0.0	0	True	0.5						
924	lbfgs	l1	0.6	5	False	0.01						
925	liblinear	l1	1.0	5	False	0.01	0.7586862720455783	0.24424245060791497	0.0	0.0	0.0	0.5019230769230769
926	liblinear	elasticnet	1.0	0	False	0.001						
927	sag	l1	1.0	1	False	1.0						
928	saga	l2	0.6	5	True	0.05						
929	newton-cg	elasticnet	0.0	1	True	0.5						
930	lbfgs	l1	0.15	0	False	0.005						
931	sag	elasticnet	0.0	5	False	0.05						
932	saga	none	0.9	0	False	0.05	0.8609819446189938	0.7519529950893046	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8558571003899488
933	lbfgs	l1	0.75	5	True	0.005						
934	lbfgs	none	0.9	0	False	0.005	0.8609819446189938	0.7503169141257651	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8552892265724727
935	lbfgs	elasticnet	0.0	0	True	0.005						
936	lbfgs	l1	0.75	5	True	10.0						
937	liblinear	l2	0.15	0	False	5.0						
938	sag	none	0.45	0	True	0.5						
939	lbfgs	l1	0.0	5	True	0.01						
940	saga	l1	0.45	1	False	0.005	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
941	saga	elasticnet	0.3	5	True	0.5						
942	lbfgs	l2	0.6	5	True	0.01						
943	newton-cg	l1	1.0	0	False	0.001						
944	liblinear	l1	0.75	0	True	0.5						
945	liblinear	none	0.6	1	False	0.5						
946	liblinear	none	0.9	0	False	5.0						
947	sag	none	0.6	0	False	10.0	0.8609819446189938	0.7507638543820694	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8554251840453249
948	liblinear	l2	0.45	5	False	0.1	0.8600645134263333	0.7528973076742085	0.5707403642301196	0.9095238095238095	0.4793904208998548	0.8569071642156434
949	sag	l2	0.9	0	False	0.005	0.7586862720455783	0.7188401189018243	0.0	0.0	0.0	0.8415754454683757
950	newton-cg	elasticnet	0.3	0	False	0.1						
951	sag	elasticnet	0.6	5	True	5.0						
952	sag	none	0.6	5	True	5.0						
953	newton-cg	l2	0.15	0	False	0.005	0.7586862720455783	0.7188401189018243	0.0	0.0	0.0	0.8415754454683757
954	lbfgs	elasticnet	0.0	5	False	5.0						
955	sag	elasticnet	0.15	0	False	0.001						
956	lbfgs	l1	0.75	1	True	0.05						
957	liblinear	l2	0.15	0	False	0.05						
958	lbfgs	elasticnet	0.0	0	False	0.005						
959	lbfgs	l2	0.3	5	False	1.0	0.8628126178207868	0.7537481125975024	0.612965367965368	0.8549160916602776	0.5474600870827286	0.8577653137950932
960	newton-cg	l1	0.3	0	False	0.05						
961	saga	l2	0.9	5	False	0.001	0.7586862720455783	0.6479611927988133	0.0	0.0	0.0	0.8114269851539685
962	lbfgs	none	0.15	1	False	0.5	0.8609819446189938	0.7503169141257651	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8552892265724727
963	liblinear	elasticnet	0.6	5	False	10.0						
964	saga	elasticnet	0.0	0	True	0.01						
965	sag	elasticnet	1.0	1	False	0.001						
966	lbfgs	l2	0.0	0	True	0.001						
967	lbfgs	none	0.9	0	True	0.5						
968	saga	l1	0.15	0	False	1.0	0.8628126178207868	0.7539989982650794	0.6114335256746517	0.8590618683641938	0.5436865021770683	0.8552664941332822
969	newton-cg	elasticnet	1.0	0	True	0.5						
970	saga	none	0.6	1	True	0.001						
971	sag	none	0.6	0	False	0.5	0.8609819446189938	0.7507939777674559	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8554483536468078
972	newton-cg	l1	0.6	5	False	0.005						
973	saga	l1	1.0	5	True	1.0						
974	newton-cg	elasticnet	0.0	5	True	1.0						
975	saga	l1	0.45	1	False	5.0	0.8618951866281261	0.7519243940399589	0.6140701047722125	0.8131380374293933	0.551233671988389	0.8558549145784882
976	newton-cg	none	0.9	0	True	0.001						
977	newton-cg	l1	1.0	0	False	0.005						
978	saga	l2	0.45	1	True	0.005						
979	liblinear	l1	0.45	5	False	0.05	0.8564073562062753	0.7426833573936691	0.5551008773650283	0.8992919644023211	0.47177068214804063	0.8493145295259412
980	liblinear	l1	0.6	0	False	0.005						
981	newton-cg	none	0.6	0	True	5.0						
982	newton-cg	l1	1.0	5	True	1.0						
983	newton-cg	l2	0.75	5	True	0.05						
984	liblinear	l2	0.75	5	True	0.001	0.7586862720455783	0.700832804321694	0.0	0.0	0.0	0.8241178064944832
985	liblinear	elasticnet	0.0	0	False	0.5						
986	lbfgs	l2	0.6	5	False	0.001	0.7586862720455783	0.6479611927988133	0.0	0.0	0.0	0.8114269851539685
987	saga	l2	0.3	0	True	0.001						
988	liblinear	elasticnet	0.45	0	True	0.5						
989	liblinear	l1	0.6	0	True	0.1						
990	newton-cg	none	0.75	0	False	0.05	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
991	saga	none	0.45	0	True	5.0						
992	liblinear	l1	0.0	5	True	0.1						
993	lbfgs	none	0.45	1	False	0.005	0.8609819446189938	0.7503169141257651	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8552892265724727
994	newton-cg	elasticnet	0.0	1	False	0.01						
995	newton-cg	none	1.0	0	False	0.001	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
996	lbfgs	none	0.75	5	True	0.01						
997	sag	none	0.6	5	False	10.0	0.8609819446189938	0.7507939777674559	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8554483536468078
998	sag	elasticnet	0.45	0	False	0.5						
999	sag	l2	0.15	0	False	5.0	0.8628084286372586	0.7517978702942394	0.6167333350127623	0.8140894116365814	0.5550072568940494	0.8564026789305261
1000	sag	none	0.45	0	True	0.001						
1001	liblinear	none	0.45	0	True	10.0						
1002	newton-cg	elasticnet	0.3	0	False	0.005						
1003	newton-cg	l1	0.6	5	True	0.005						
1004	liblinear	l2	0.6	5	False	5.0	0.8628084286372586	0.7517856591798145	0.6167333350127623	0.8140894116365814	0.5550072568940494	0.8563803836536277
1005	lbfgs	l2	0.45	5	True	0.5						
1006	saga	l1	0.45	0	True	5.0						
1007	sag	l2	0.75	5	False	0.5	0.8664655858573163	0.7538025828893875	0.6161004428169029	0.8775717360114778	0.5399129172714079	0.8579340584398553
1008	liblinear	l2	1.0	0	True	0.01						
1009	sag	l2	0.0	5	False	0.1	0.8609777554354656	0.7528844479945002	0.5736866813337401	0.9104247104247104	0.4831640058055152	0.8569307709794185
1010	sag	none	1.0	5	False	0.1	0.8609819446189938	0.7507939777674559	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8554483536468078
1011	lbfgs	l2	0.75	1	False	10.0	0.8618951866281261	0.7512400707297526	0.6141801435234007	0.8136248355622493	0.551233671988389	0.8558793956668473
1012	saga	none	1.0	0	True	1.0						
1013	newton-cg	l2	0.9	0	True	0.001						
1014	newton-cg	l2	0.6	0	False	0.1	0.8609777554354656	0.752861876669112	0.5736866813337401	0.9104247104247104	0.4831640058055152	0.8569076013779355
1015	saga	l1	1.0	0	False	10.0	0.8609819446189938	0.7514204728362233	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8558356794376344
1016	saga	none	0.9	0	False	0.5	0.8609819446189938	0.7516879113183019	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8557884659100845
1017	newton-cg	elasticnet	0.75	5	False	0.001						
1018	liblinear	l1	1.0	5	True	0.1						
1019	liblinear	l1	0.3	5	True	0.1						
1020	sag	none	1.0	5	False	0.5	0.8609819446189938	0.7507939777674559	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8554483536468078
1021	lbfgs	l1	0.3	0	False	0.005						
1022	lbfgs	l1	0.45	0	True	1.0						
1023	sag	l2	0.45	0	False	0.05	0.8591512714172008	0.7490128896752346	0.5543821278245303	0.9435117302052787	0.4492017416545718	0.8548280203542763
1024	liblinear	l2	0.15	1	True	5.0	0.8609819446189938	0.7519033892701136	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8563563397275604
1025	newton-cg	elasticnet	0.3	0	False	10.0						
1026	saga	l1	0.6	0	True	10.0						
1027	saga	l2	0.0	0	False	0.5	0.865552343848184	0.7534873064277814	0.6146777341985719	0.8726474935872354	0.5399129172714079	0.8580026929197195
1028	lbfgs	elasticnet	0.45	5	False	0.001						
1029	sag	none	0.15	5	True	5.0						
1030	liblinear	elasticnet	0.3	5	False	0.001						
1031	saga	elasticnet	1.0	0	False	0.001	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
1032	sag	l1	0.3	5	False	0.01						
1033	sag	elasticnet	0.6	5	False	1.0						
1034	liblinear	l1	0.9	5	False	0.1	0.8573205982154078	0.7520269799743903	0.5616208445642409	0.8887798707824469	0.48686502177068214	0.8560184132757446
1035	lbfgs	l2	0.6	0	True	10.0						
1036	sag	elasticnet	0.75	0	True	0.1						
1037	sag	elasticnet	0.45	0	True	0.01						
1038	saga	none	0.75	5	False	1.0	0.8609819446189938	0.7516879113183019	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8557884659100845
1039	sag	l1	0.6	0	True	0.5						
1040	newton-cg	none	0.15	0	False	10.0	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
1041	saga	elasticnet	0.3	0	True	0.5						
1042	newton-cg	elasticnet	0.3	1	True	5.0						
1043	sag	l2	0.3	0	False	5.0	0.8628084286372586	0.7517978702942394	0.6167333350127623	0.8140894116365814	0.5550072568940494	0.8564026789305261
1044	lbfgs	elasticnet	0.75	5	False	0.01						
1045	saga	l2	0.75	5	False	0.001	0.7586862720455783	0.6479611927988133	0.0	0.0	0.0	0.8114269851539685
1046	saga	none	0.9	0	False	5.0	0.8609819446189938	0.7516252271836563	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8557657334708937
1047	lbfgs	none	0.6	0	False	1.0	0.8609819446189938	0.7503169141257651	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8552892265724727
1048	lbfgs	elasticnet	0.6	1	False	10.0						
1049	newton-cg	none	0.45	0	False	0.01	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
1050	sag	elasticnet	1.0	5	False	10.0						
1051	liblinear	l1	0.6	5	False	10.0	0.8618951866281261	0.7502054356909418	0.6141801435234007	0.8136248355622493	0.551233671988389	0.8554942556874814
1052	newton-cg	l2	0.6	0	False	1.0	0.8628126178207868	0.7537481125975024	0.612965367965368	0.8549160916602776	0.5474600870827286	0.8577653137950932
1053	liblinear	none	1.0	0	False	0.1						
1054	lbfgs	l2	0.15	5	True	0.01						
1055	saga	none	0.6	0	True	5.0						
1056	lbfgs	l2	0.75	5	False	0.1	0.8609777554354656	0.752861876669112	0.5736866813337401	0.9104247104247104	0.4831640058055152	0.8569076013779355
1057	saga	none	0.3	0	True	5.0						
1058	newton-cg	l2	0.0	1	False	0.1	0.8609777554354656	0.752861876669112	0.5736866813337401	0.9104247104247104	0.4831640058055152	0.8569076013779355
1059	newton-cg	l2	0.15	5	True	0.1						
1060	liblinear	none	0.75	5	False	0.01						
1061	saga	elasticnet	0.3	0	True	0.1						
1062	sag	l1	0.0	1	True	0.01						
1063	saga	none	0.15	5	False	0.001	0.8609819446189938	0.7516653399929136	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8557652963086015
1064	newton-cg	elasticnet	0.6	0	False	0.005						
1065	lbfgs	l2	0.75	1	False	0.1	0.8609777554354656	0.752861876669112	0.5736866813337401	0.9104247104247104	0.4831640058055152	0.8569076013779355
1066	lbfgs	elasticnet	0.3	0	False	0.1						
1067	newton-cg	l2	0.3	0	False	0.005	0.7586862720455783	0.7188401189018243	0.0	0.0	0.0	0.8415754454683757
1068	newton-cg	none	0.45	1	True	0.5						
1069	newton-cg	l2	0.6	0	True	0.01						
1070	lbfgs	l2	0.45	5	True	1.0						
1071	newton-cg	l1	0.6	1	False	0.001						
1072	sag	l2	0.45	5	True	0.1						
1073	lbfgs	none	0.15	5	True	5.0						
1074	saga	l2	0.75	5	False	0.5	0.865552343848184	0.7534873064277814	0.6146777341985719	0.8726474935872354	0.5399129172714079	0.8580026929197195
1075	saga	l2	0.45	5	True	0.01						
1076	saga	l2	0.9	0	False	0.01	0.7659922081186378	0.7355950416720244	0.05740259740259741	0.6	0.030188679245283023	0.8470959308933848
1077	saga	l2	0.6	5	False	0.005	0.7586862720455783	0.7192164528183767	0.0	0.0	0.0	0.8416209103467572
1078	newton-cg	none	1.0	5	True	10.0						
1079	lbfgs	elasticnet	0.0	1	False	0.05						
1080	saga	none	0.9	0	True	0.1						
1081	liblinear	elasticnet	0.3	0	True	0.005						
1082	liblinear	none	0.45	5	False	10.0						
1083	lbfgs	none	0.3	5	True	0.005						
1084	lbfgs	l1	0.6	0	False	0.005						
1085	newton-cg	l1	0.45	5	False	0.1						
1086	lbfgs	elasticnet	0.9	5	True	0.001						
1087	saga	elasticnet	1.0	0	True	0.001						
1088	sag	l1	0.3	5	True	0.001						
1089	lbfgs	l2	0.75	1	True	0.1						
1090	liblinear	elasticnet	0.3	0	True	0.1						
1091	newton-cg	elasticnet	0.15	0	True	0.01						
1092	saga	elasticnet	0.0	0	False	0.5	0.865552343848184	0.7534873064277814	0.6146777341985719	0.8726474935872354	0.5399129172714079	0.8580026929197195
1093	sag	l1	0.75	1	True	0.01						
1094	newton-cg	l1	0.0	1	False	5.0						
1095	lbfgs	none	0.75	5	False	0.5	0.8609819446189938	0.7503169141257651	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8552892265724727
1096	liblinear	l1	0.75	0	True	5.0						
1097	newton-cg	none	0.15	5	True	0.05						
1098	liblinear	none	0.15	1	False	0.005						
1099	liblinear	none	0.0	0	True	0.5						
1100	newton-cg	elasticnet	0.6	5	True	5.0						
1101	newton-cg	none	0.0	5	True	0.005						
1102	saga	none	0.0	1	True	5.0						
1103	newton-cg	elasticnet	0.6	1	False	0.01						
1104	saga	none	0.3	1	False	0.001	0.8609819446189938	0.7516252271836563	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8557657334708937
1105	newton-cg	none	0.3	5	False	0.001	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
1106	saga	elasticnet	0.9	0	True	0.1						
1107	lbfgs	l2	0.9	5	True	0.05						
1108	newton-cg	none	0.3	5	True	0.5						
1109	saga	l1	0.45	1	True	0.05						
1110	newton-cg	l2	0.6	0	True	0.01						
1111	lbfgs	elasticnet	0.75	5	False	0.01						
1112	liblinear	none	0.0	0	False	0.1						
1113	liblinear	l1	1.0	5	True	0.001						
1114	newton-cg	l2	0.45	0	True	0.1						
1115	lbfgs	l2	0.15	5	False	0.5	0.8664655858573163	0.753749627676844	0.6161004428169029	0.8775717360114778	0.5399129172714079	0.8578885935614737
1116	lbfgs	l1	0.9	1	False	0.005						
1117	saga	none	0.3	1	True	1.0						
1118	newton-cg	l1	0.75	0	False	0.005						
1119	sag	l1	0.3	5	False	10.0						
1120	saga	none	0.9	5	False	10.0	0.8609819446189938	0.7516742911602272	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8557884659100845
1121	liblinear	none	0.15	1	True	5.0						
1122	newton-cg	none	0.6	0	True	1.0						
1123	liblinear	l2	0.75	5	False	10.0	0.8618951866281261	0.7511796213142086	0.6141801435234007	0.8136248355622493	0.551233671988389	0.8558798328291395
1124	lbfgs	l1	0.15	1	True	10.0						
1125	liblinear	l2	0.15	0	False	0.1						
1126	sag	elasticnet	0.45	0	True	10.0						
1127	lbfgs	elasticnet	0.9	1	True	0.005						
1128	saga	none	0.75	1	False	0.001	0.8609819446189938	0.751944043921991	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8558339307884658
1129	liblinear	none	0.0	0	False	0.1						
1130	liblinear	l2	0.45	0	False	10.0						
1131	sag	l2	0.3	5	True	0.5						
1132	liblinear	none	0.9	1	False	0.001						
1133	lbfgs	l1	0.0	0	True	0.01						
1134	saga	elasticnet	0.75	0	False	0.1	0.8564073562062754	0.7570378650667424	0.5576693487076932	0.895175090564085	0.475544267053701	0.8574925245248046
1135	newton-cg	none	0.0	5	True	0.001						
1136	sag	l1	0.75	0	False	1.0						
1137	saga	elasticnet	0.3	5	False	0.001	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
1138	sag	l1	0.15	5	True	0.5						
1139	newton-cg	l2	0.6	0	True	0.05						
1140	sag	none	1.0	0	False	5.0	0.8609819446189938	0.7507939777674559	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8554483536468078
1141	newton-cg	l2	0.9	5	True	0.1						
1142	lbfgs	none	1.0	5	False	0.005	0.8609819446189938	0.7503169141257651	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8552892265724727
1143	newton-cg	l2	0.75	5	False	0.5	0.8664655858573163	0.753749627676844	0.6161004428169029	0.8775717360114778	0.5399129172714079	0.8578885935614737
1144	newton-cg	l2	0.3	1	True	10.0						
1145	liblinear	elasticnet	1.0	0	False	0.01						
1146	lbfgs	none	1.0	1	True	0.001						
1147	sag	l1	0.0	5	True	0.05						
1148	sag	elasticnet	1.0	1	False	0.005						
1149	newton-cg	l1	0.45	0	True	0.5						
1150	sag	l2	0.15	5	True	0.01						
1151	sag	none	1.0	5	True	0.01						
1152	liblinear	l1	1.0	0	False	5.0						
1153	sag	elasticnet	0.6	5	False	0.5						
1154	saga	elasticnet	1.0	5	True	0.1						
1155	lbfgs	none	0.15	0	True	5.0						
1156	saga	elasticnet	0.75	0	False	1.0	0.8628126178207868	0.7541920071900102	0.6114335256746517	0.8590618683641938	0.5436865021770683	0.8560219105740815
1157	liblinear	l2	0.0	5	True	0.1	0.8600645134263333	0.7528973076742085	0.5707403642301196	0.9095238095238095	0.4793904208998548	0.8569071642156434
1158	lbfgs	elasticnet	0.6	1	False	1.0						
1159	sag	l2	0.75	5	True	0.01						
1160	saga	none	0.0	5	True	0.005						
1161	sag	none	0.0	0	True	0.001						
1162	liblinear	l1	0.15	0	True	0.005						
1163	lbfgs	elasticnet	0.3	0	True	0.05						
1164	liblinear	l2	0.45	5	False	1.0	0.8628126178207868	0.7537582192331339	0.612965367965368	0.8549160916602776	0.5474600870827286	0.8578339482749577
1165	sag	elasticnet	0.9	5	True	0.005						
1166	lbfgs	elasticnet	0.75	1	False	0.005						
1167	newton-cg	none	0.45	5	True	0.001						
1168	liblinear	l2	0.0	0	False	0.005						
1169	newton-cg	elasticnet	0.75	5	True	10.0						
1170	newton-cg	elasticnet	0.75	0	False	0.5						
1171	lbfgs	elasticnet	0.9	1	True	0.05						
1172	sag	l1	0.0	5	True	0.5						
1173	liblinear	l2	0.6	5	True	0.01	0.7659922081186378	0.7380577035904973	0.05740259740259741	0.6	0.030188679245283023	0.8476852256631753
1174	saga	none	0.15	0	False	0.5	0.8609819446189938	0.751910140216831	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8558111983492752
1175	saga	l1	0.0	0	True	0.005						
1176	liblinear	none	0.3	5	True	10.0						
1177	liblinear	l1	0.75	0	True	0.1						
1178	lbfgs	none	0.3	0	True	0.01						
1179	newton-cg	elasticnet	0.75	0	True	0.01						
1180	saga	l2	0.6	5	False	0.005	0.7586862720455783	0.7192164528183767	0.0	0.0	0.0	0.8416209103467572
1181	liblinear	l2	0.45	0	False	5.0						
1182	sag	l1	0.15	5	False	0.01						
1183	lbfgs	elasticnet	0.9	5	True	10.0						
1184	liblinear	elasticnet	0.0	5	False	5.0						
1185	lbfgs	elasticnet	0.15	5	False	0.05						
1186	liblinear	none	0.45	5	False	10.0						
1187	sag	elasticnet	0.3	0	False	5.0						
1188	newton-cg	l1	0.0	0	True	0.1						
1189	saga	none	0.3	5	True	10.0						
1190	liblinear	l1	0.15	0	True	0.01						
1191	saga	l1	0.15	1	False	0.1	0.8582338402245402	0.7525783234204309	0.5648701442841289	0.8897879352985759	0.4906386066763425	0.8563554654029761
1192	liblinear	none	0.45	0	False	10.0						
