	solver	penalty	l1_ratio	intercept_scaling	dual	C	accuracy	average_precision	f1	precision	recall	roc_auc
91	saga	l1	1.0	1	False	0.001	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
92	lbfgs	l1	0.9	0	False	0.005						
93	liblinear	none	0.15	0	True	1.0						
94	saga	none	0.3	1	True	5.0						
95	sag	l1	0.3	5	True	0.005						
96	sag	l1	0.3	1	False	0.01						
97	liblinear	l2	0.3	0	False	0.01						
98	sag	elasticnet	0.3	5	True	10.0						
99	newton-cg	l1	0.75	5	False	0.1						
100	sag	l2	0.0	1	False	0.05	0.8591512714172008	0.7489952758547265	0.5543821278245303	0.9435117302052787	0.4492017416545718	0.8548052879150856
101	saga	elasticnet	0.45	5	False	0.005	0.7586862720455783	0.24424245060791497	0.0	0.0	0.0	0.5019230769230769
102	lbfgs	none	0.3	0	False	5.0	0.8609819446189938	0.7503169141257651	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8552892265724727
103	saga	l2	0.45	0	False	0.01	0.7659922081186378	0.7355950416720244	0.05740259740259741	0.6	0.030188679245283023	0.8470959308933848
104	lbfgs	elasticnet	0.45	5	True	0.005						
105	newton-cg	none	0.0	0	True	0.05						
106	liblinear	elasticnet	0.6	1	False	10.0						
107	saga	none	0.3	0	False	0.01	0.8609819446189938	0.7516026558582681	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8557425638694109
108	lbfgs	l2	1.0	5	False	0.001	0.7586862720455783	0.6479611927988133	0.0	0.0	0.0	0.8114269851539685
109	saga	elasticnet	0.45	5	True	1.0						
110	newton-cg	l2	0.9	5	False	0.1	0.8609777554354656	0.752861876669112	0.5736866813337401	0.9104247104247104	0.4831640058055152	0.8569076013779355
111	sag	none	0.6	0	False	0.005	0.8609819446189938	0.7507939777674559	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8554483536468078
112	lbfgs	none	0.9	1	True	10.0						
113	saga	l1	0.6	5	False	10.0	0.8609819446189938	0.7513650692822793	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8557897773969609
114	newton-cg	l1	0.9	1	False	0.5						
115	sag	none	0.9	5	True	0.001						
116	saga	elasticnet	0.6	0	False	0.5	0.8637258598299191	0.7556580180736858	0.6063134956242061	0.8752780687871965	0.5285921625544268	0.8558920733733191
117	newton-cg	l2	0.15	1	True	0.05						
118	newton-cg	l1	0.45	1	False	0.01						
119	saga	l2	0.75	5	False	0.1	0.8609777554354656	0.7530073357945908	0.5736866813337401	0.9104247104247104	0.4831640058055152	0.856976673020092
120	saga	none	0.75	0	False	0.01	0.8609819446189938	0.7516252271836563	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8557657334708937
121	newton-cg	elasticnet	0.0	1	False	5.0						
122	newton-cg	l2	0.75	0	True	0.001						
123	sag	l2	0.6	1	True	0.1						
124	saga	none	0.9	0	False	0.5	0.8609819446189938	0.7513312379869854	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8557657334708937
125	lbfgs	l1	0.6	5	True	0.05						
126	sag	l2	0.9	1	True	1.0						
127	liblinear	l2	1.0	5	False	0.1	0.8600645134263333	0.7528973076742085	0.5707403642301196	0.9095238095238095	0.4793904208998548	0.8569071642156434
128	saga	elasticnet	0.3	0	False	5.0	0.8628084286372586	0.7521368706106376	0.6167333350127623	0.8140894116365814	0.5550072568940494	0.8562894538968647
129	sag	l1	0.0	0	False	0.1						
130	liblinear	none	0.75	5	True	1.0						
131	liblinear	elasticnet	0.3	5	True	0.005						
132	saga	elasticnet	0.45	5	True	1.0						
133	sag	l2	0.15	0	True	0.001						
134	newton-cg	none	0.75	1	False	5.0	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
135	saga	l1	0.75	5	True	0.005						
136	saga	l2	0.9	5	False	0.1	0.8600645134263333	0.7530073357945908	0.5707403642301196	0.9095238095238095	0.4793904208998548	0.856976673020092
137	liblinear	l1	0.9	5	False	0.01	0.7586862720455783	0.24424245060791497	0.0	0.0	0.0	0.5019230769230769
138	liblinear	l1	1.0	0	True	0.01						
139	sag	none	0.6	0	True	0.01						
140	lbfgs	elasticnet	0.3	5	True	0.01						
141	newton-cg	l1	0.45	0	True	0.005						
142	newton-cg	none	0.6	1	True	0.1						
143	newton-cg	none	0.45	5	True	0.005						
